Date,Temperature,Humidity,Wind_Speed,Cloud_Cover,UV_Index,Power_Output
1/1/2024,34.5,51.3,11,42.5,7.4,1738.9
1/2/2024,31.3,36.4,13.1,13.1,4.9,1515.8
1/3/2024,35.2,34.3,9.8,37.9,5.4,1511.9
1/4/2024,39.6,49.8,10.8,51.6,7.9,1849.9
1/5/2024,30.8,42.8,11.4,0,7.2,1849.9
1/6/2024,30.8,52.1,9.2,18,6.8,1736.3
1/7/2024,39.9,49.7,10.4,38.7,7,1677.5
1/8/2024,35.8,44.3,10,27,7.4,1848.3
1/9/2024,29.7,36.5,10.2,35.6,6.4,1619.3
1/10/2024,34.7,29.9,8.5,20.9,6.1,1782.7
1/11/2024,29.7,40.5,10,31.3,7.2,1689.1
1/12/2024,29.7,53.6,11,27.7,5.8,1565.5
1/13/2024,33.2,47.1,12.9,47.5,7.5,1707
1/14/2024,22.4,32.5,11.9,33.8,5,1433.9
1/15/2024,23.4,46.7,14.3,35.1,8.2,1737.7
1/16/2024,29.2,48.9,8.5,23.8,7.6,1799
1/17/2024,26.9,36.2,11.7,22.7,7.3,1761.9
1/18/2024,33.6,46.5,10.4,23.5,8.2,1911.8
1/19/2024,27.5,45.6,14.4,35.9,9,1853.2
1/20/2024,24.9,33.6,8.4,23.7,8.2,1824.2
1/21/2024,39.3,48.6,8.3,34.3,4.8,1551.2
1/22/2024,30.9,50.6,8.8,61.1,5.5,1312.2
1/23/2024,32.3,55.8,5.8,43.1,6.3,1570.1
1/24/2024,24.9,55.5,8.9,25.1,7,1628.5
1/25/2024,29.3,31.2,8.5,48,7.6,1724.8
1/26/2024,32.6,35.6,10.3,23.9,6.1,1562.3
1/27/2024,26.2,50.2,10.7,0,7.2,1798.1
1/28/2024,33.9,50.1,13.8,14.9,6.1,1715.4
1/29/2024,29,50.2,11.9,1.9,6.3,1814.8
1/30/2024,30.5,83.5,8.8,24.7,5.3,1514.2
1/31/2024,29,50.7,8.2,30.3,5.9,1518.7
2/1/2024,41.3,56.4,11,55.1,5.4,1579.6
2/2/2024,31.9,54.5,7.4,34.9,5.8,1468.1
2/3/2024,26.7,51.5,13.7,26.7,8.3,1719.6
2/4/2024,36.1,41.8,12.4,42.4,5.9,1579
2/5/2024,25.9,52.6,9.1,0,10.2,2157.9
2/6/2024,33,37.3,6.6,33.5,7.6,1723.4
2/7/2024,22.2,42.6,12.7,41.6,7.2,1613.4
2/8/2024,25.4,40.1,9.8,7.8,6,1647.2
2/9/2024,33,45.8,12.5,47.2,7.8,1701.8
2/10/2024,35.7,68.1,6.8,35.1,6.3,1573.5
2/11/2024,32.9,26.3,8.8,23.8,7.1,1805.6
2/12/2024,31.4,51.9,10,39.5,10.1,2061
2/13/2024,30.5,28.9,10.1,64.1,6.9,1507.5
2/14/2024,24.6,40.3,9.1,32.7,8.4,1882.8
2/15/2024,28.4,55.9,11.2,33.7,6.2,1506
2/16/2024,29.7,45.6,7.9,23.1,7,1645.2
2/17/2024,37.3,34.2,9.7,17.3,9.1,2043.9
2/18/2024,33.7,37.8,10.2,42.5,6.2,1566.2
2/19/2024,23.2,51.8,11,17.2,9.2,1962.2
2/20/2024,33.6,37.7,11.4,31.1,7.8,1804.4
2/21/2024,30.1,47.2,7.8,22.8,6.3,1660.6
2/22/2024,28.6,45.5,6.9,37.2,7.8,1673.4
2/23/2024,35.1,38.5,12.6,35,8.2,1932.2
2/24/2024,37.2,66.4,10.7,45.6,7.7,1763.9
2/25/2024,36.7,51.3,8.5,22.3,5.1,1623.4
2/26/2024,27.8,24.7,13.1,26,6.1,1597.1
2/27/2024,30.5,46.9,10.2,15.3,6.7,1755.3
2/28/2024,33.7,38.4,12.4,23.3,6.9,1777
2/29/2024,36.9,53.5,10.1,35.7,7.7,1836.9
3/1/2024,29.6,37.1,14.1,41.4,7.2,1685.1
3/2/2024,31.1,43.9,13.5,16.2,5.4,1644.5
3/3/2024,26.5,50,9.5,43,7.5,1659.8
3/4/2024,26,53.7,11.9,50.3,7.7,1668
3/5/2024,36.1,33,11.3,36.2,7.7,1799.5
3/6/2024,38.8,41.7,12.7,58.2,8.3,1865
3/7/2024,31.6,40.3,8.1,18.4,8,1850.2
3/8/2024,37,38.5,11.4,11.3,7.6,2015.5
3/9/2024,33.8,62.7,12.1,3.3,6.9,1847.5
3/10/2024,28.8,49,6.5,52.4,5,1254.5
3/11/2024,33.8,32.4,7.6,39.8,7.5,1745.4
3/12/2024,39.7,54.2,5.9,29.2,7.2,1780.9
3/13/2024,31.8,66.2,9.5,34.2,7.3,1765
3/14/2024,39.8,55.3,11.4,13.1,5.5,1659.9
3/15/2024,18.9,29.8,13,66.7,5.7,1217.2
3/16/2024,36.1,40.2,10.1,31.9,8.3,1803
3/17/2024,32.4,57.7,13.3,31.6,7,1683.4
3/18/2024,30.5,37.9,7.2,40.9,7.8,1615.3
3/19/2024,32.5,49.4,6.6,37.2,7,1599.8
3/20/2024,22.1,52.7,9.9,33.4,7,1632
3/21/2024,30.9,35.7,10.8,18.1,8.1,1929.8
3/22/2024,33.8,44.4,9.9,37.1,6.4,1641.8
3/23/2024,39.4,12.6,5.9,58.2,7.1,1606.7
3/24/2024,29.4,34.8,9.8,50.2,6.4,1508.6
3/25/2024,28,42.5,7.4,53.9,6.5,1490.3
3/26/2024,29.5,32.5,11.3,22.3,6.6,1617.6
3/27/2024,36.6,61.3,10.7,15.2,7.3,1941.2
3/28/2024,33.6,30.7,8.1,28.1,6.4,1707.4
3/29/2024,29.4,40.6,9,30.8,8.5,1849
3/30/2024,34.6,46.3,7.9,46.4,5.9,1523.3
3/31/2024,32.5,59.4,9.9,4.6,6.8,1828.4
4/1/2024,36.8,30.6,11.9,52.9,6.5,1481.4
4/2/2024,28.5,56.6,8,27.6,8.7,1878.6
4/3/2024,30.4,45.1,11,23.6,7.2,1715.9
4/4/2024,30,35.2,8.9,14.8,8.2,1859.9
4/5/2024,24.7,49.6,8.4,5.2,5.2,1530.9
4/6/2024,33.5,47,9.8,42.3,7.3,1789.4
4/7/2024,33.3,39,7.9,31.1,8.1,1881.5
4/8/2024,32,45.7,8.9,10.7,7.1,1789.9
4/9/2024,30.8,41.1,7.6,10.6,8.3,1979.6
4/10/2024,24.9,46.1,13.9,25,6.4,1662
4/11/2024,29.9,51.6,10.1,55,8.7,1814.2
4/12/2024,30.3,60.9,8.6,26.1,9.8,2051.5
4/13/2024,28,32.6,10.4,7.5,6.6,1702.2
4/14/2024,31.2,66.3,9.8,26.3,6.5,1695.4
4/15/2024,34,25.5,9.6,25.9,8.7,1974.2
4/16/2024,41.4,43.5,11.2,0,8.9,2226.8
4/17/2024,32.9,50.9,11.5,29.2,6.4,1682.8
4/18/2024,33.3,47.8,8.9,26.5,6.5,1733
4/19/2024,31.6,38.8,8.8,40.4,6.7,1591.2
4/20/2024,22.4,42.9,9.4,57.7,5.4,1349.4
4/21/2024,31.9,40.1,5.4,46.9,5.9,1502.4
4/22/2024,32.3,39.1,7,26,5.8,1692.8
4/23/2024,44.3,53.5,12.7,13.4,6.1,1773.5
4/24/2024,31,48.6,13.3,68.6,7,1593.8
4/25/2024,33.5,38.1,9.5,30.9,7.3,1766.4
4/26/2024,31.8,54,11.2,30.2,8.9,1902.4
4/27/2024,26.2,48.1,10.6,29.6,5.8,1485.8
4/28/2024,37.7,53.1,16.2,33,8.2,1880
4/29/2024,35.8,51.3,12.2,27.8,6.7,1744.2
4/30/2024,36,36.7,9.7,21.4,6.9,1807.1
5/1/2024,27.5,39.4,8.1,21.8,7.8,1773.3
5/2/2024,39,52.5,6.8,29.5,5.7,1625.3
5/3/2024,25,51.1,10.4,21.8,7.5,1848.1
5/4/2024,34.9,44.8,8.5,19.3,7.2,1902.9
5/5/2024,43,46.2,7.2,31.6,7.6,1905.8
5/6/2024,27,57.8,8.7,26.2,7.3,1716.9
5/7/2024,29.2,39.1,7.8,52.6,9.9,1923
5/8/2024,32.5,50.5,13.4,0,6.2,1799.7
5/9/2024,29.5,43,11.8,46.4,6.4,1479.9
5/10/2024,24.2,42.8,10,48.7,6.3,1441.6
5/11/2024,32.3,56,13,0,6.3,1695.6
5/12/2024,26.7,53.3,10.2,24.9,6.2,1606.5
5/13/2024,34.4,53.1,8.3,24.4,8.4,1962.4
5/14/2024,27.4,58.1,13,8.9,8.7,1949.3
5/15/2024,39.7,45.2,11.1,18.3,6.3,1840.2
5/16/2024,28.1,51.8,7.9,13.3,6,1573.2
5/17/2024,30.4,41.9,9.6,56.3,7.6,1561.3
5/18/2024,36.1,48.2,8.2,44,6.3,1608.2
5/19/2024,25.8,43.7,7.2,49.1,7.8,1700.9
5/20/2024,33.1,46,11.9,40.8,7.2,1775.2
5/21/2024,38.5,51,13.8,13.1,5.2,1620.6
5/22/2024,24,36.8,7.2,22.1,8.9,1951.4
5/23/2024,32.9,65.9,11.1,37.3,9.2,1944.6
5/24/2024,33.3,34.9,8.7,11.7,6.3,1721.9
5/25/2024,35.9,32.9,9,40.7,6.5,1679.7
5/26/2024,25.8,56.6,8.8,26.4,7.3,1734.6
5/27/2024,25.4,52.9,8.3,24.4,7.4,1641.2
5/28/2024,34.6,51.2,10.1,40.7,7.8,1852.3
5/29/2024,33.5,51.3,8.3,36.7,9.4,2048.5
5/30/2024,33.3,44.9,10.5,24.6,6.8,1694.7
5/31/2024,33.7,36,9.9,47.4,6,1539.8
6/1/2024,28.6,45.8,9.5,13.8,5.3,1577.7
6/2/2024,33.2,38.2,8.2,39.2,6.1,1581
6/3/2024,33.5,54.8,8.8,38.9,7,1653
6/4/2024,28.4,43.5,11.5,25.4,9.2,1927.4
6/5/2024,41.3,36.7,11,34.9,6.4,1705.2
6/6/2024,34.4,41.8,8,11.2,7.3,1922.6
6/7/2024,26,49.1,10.2,43.9,7,1607.7
6/8/2024,35.3,39.4,11.5,27.2,8.4,1906.5
6/9/2024,27.1,36.8,6.7,22.2,10,2098.6
6/10/2024,35.9,47.4,11.1,45.7,6.4,1456.1
6/11/2024,37.8,47.4,8.7,19.4,6.4,1806.4
6/12/2024,27.9,39.9,11.1,8.9,8.3,1843.5
6/13/2024,36.8,40.3,8.5,6.7,7.8,1952.4
6/14/2024,34.1,47.3,6.4,39.1,9.2,1893.5
6/15/2024,36.1,30.5,6.7,10.8,7.7,1866.3
6/16/2024,41.5,30.9,10.1,56.3,6.6,1683.5
6/17/2024,30.8,37.8,10.5,0,7.7,1908.6
6/18/2024,28.2,42.9,8.2,55.4,8.3,1718.3
6/19/2024,27.6,48.1,11.3,33.2,8,1767.7
6/20/2024,27.9,59.8,6.7,28.5,7.6,1772.4
6/21/2024,31.6,53.6,9.9,21.8,8.3,1906.8
6/22/2024,33.7,43.4,7.6,36,8.4,1800.9
6/23/2024,33.4,44.8,8.7,29.4,8.7,1980.8
6/24/2024,36.1,35,10.1,46.5,7.8,1739.8
6/25/2024,32.1,44.8,8.3,31.7,6.8,1600.7
6/26/2024,39.3,42.1,9.2,32.3,7.2,1774.1
6/27/2024,30.7,48.2,12,24.5,8.4,1967.5
6/28/2024,45.6,36.7,8.8,29.1,6,1773
